Topic,Count,Name,Representation,Representative_Docs
11,182,11_ice_redadas_inmigrantes_arresta,"['ice', 'redadas', 'inmigrantes', 'arresta', 'lrtmus', 'cita', 'agentes', 'detener', 'nueva', 'cubana']","['ICE arresta a dos inmigrantes colombianos tras acudir a una cita de trámite con USCIS :  EEUU tiene que ser un lugar más seguro  | LRTMUS | Historias Estados Unidos', 'ICE arresta a dos inmigrantes colombianos tras acudir a una cita de trámite con USCIS :  EEUU tiene que ser un lugar más seguro  | LRTMUS | Historias Estados Unidos', 'ICE arresta a dos inmigrantes colombianos tras acudir a una cita de trámite con USCIS :  EEUU tiene que ser un lugar más seguro  | LRTMUS | Historias Estados Unidos']"
12,178,12_salvador_deportado_error_brego,"['salvador', 'deportado', 'error', 'brego', 'kilmar', 'migrante', 'venezolano', 'salvadoreo', 'jueza', 'ordena']","['Jueza ordena repatriar a EEUU a un migrante deportado por error a El Salvador', 'Jueza ordena repatriar a EEUU a un migrante deportado por error a El Salvador', 'Migrante deportado por error a prisión en El Salvador']"
13,176,13_234_300_25_10,"['234', '300', '25', '10', '', '', '', '', '', '']","['كونا : مصر ترحب بمطالبة 25 دولة بإنهاء الحرب التي يشنها الاحتلال الإسرائيلي على غزة - الشؤون السياسية', 'كونا : ماليزيا تبعد 300 مهاجر من ميانمار بعد توفير مساعدات إنسانية مؤقتة لهم - انسان', 'كونا : ماليزيا تبعد 300 مهاجر من ميانمار بعد توفير مساعدات إنسانية مؤقتة لهم - انسان']"
14,157,14_mxico_migrantes_buscan_quedarse,"['mxico', 'migrantes', 'buscan', 'quedarse', 'navidad', 'frontera', 'optan', 'celebran', 'sheinbaum', 'migrante']","['Mientras la frontera con Estados Unidos se vuelve más restrictiva , más de la mitad de migrantes ahora optan por quedarse en México , crecen las solicitudes de refugio y aumentan los desafíos de integración', 'Migrantes en frontera norte y sur de México celebran Navidad en medio de la incertidumbre', 'Migrantes en frontera norte y sur de México celebran Navidad en medio de la incertidumbre']"
15,153,15_myanmar_disaster_earthquake_junta,"['myanmar', 'disaster', 'earthquake', 'junta', 'quake', 'complicating', 'bureau', 'disasters', 'void', 'unprepared']","['Myanmar deadly earthquake exposes void left by US in global disaster responses', 'Myanmar deadly earthquake exposes void left by US in global disaster responses', 'Myanmar deadly earthquake exposes void left by US in global disaster responses']"
16,150,16_labour_britain_welfare_wealthiest,"['labour', 'britain', 'welfare', 'wealthiest', 'problem', 'illegal', 'wealthy', 'benefits', 'paid', 'uk']","['Refugees and illegal migration : The wealthy have been shielded from Britain big problem … until now', 'Refugees and illegal migration : The wealthy have been shielded from Britain big problem … until now', 'Refugees and illegal migration : The wealthy have been shielded from Britain big problem … until now']"
17,149,17_aiuti_umanitari_crosetto_di,"['aiuti', 'umanitari', 'crosetto', 'di', 'il', 'gli', 'israele', 'israeliani', 'striscia', 'morti']","['Così Israele militarizza gli aiuti umanitari a Gaza', 'Crosetto :  Dal 9 agosto il lancio di aiuti umanitari italiani a Gaza  ', 'Crosetto :  Dal 9 agosto il lancio di aiuti umanitari italiani a Gaza  ']"
18,139,18_news1_bbc_340_inss,"['news1', 'bbc', '340', 'inss', 'wck', '27', '100', '20', '', '']","['News1 | ישראל עוצרת את הסיוע מירדן לעזה עד תחקיר מקיף לפיגוע במעבר אלנבי', 'News1 | טראמפ :  חמאס מוכן לשלום - ישראל חייבת להפסיק את ההפצצות בעזה  ', 'News1 | תוכנית פרו - ישראלית']"
19,134,19_ironed_hamas_ceasefire_phase,"['ironed', 'hamas', 'ceasefire', 'phase', 'defiant', 'wedding', 'details', 'prepare', 'salvage', 'progres']","['Officials claim Gaza ceasefire , but Israel says details still not ironed out', 'Officials claim Gaza ceasefire , but Israel says details still not ironed out', 'Officials claim Gaza ceasefire , but Israel says details still not ironed out']"
20,132,20_sectarian_loyalists_syria_assad,"['sectarian', 'loyalists', 'syria', 'assad', 'sweida', 'clashes', 'sharaa', 'coastal', 'violence', 'damascus']","['Clashes in Syria coastal region between government forces and Assad loyalists kill more than 70', 'Clashes in Syria coastal region between government forces and Assad loyalists kill more than 70', 'At least 15 killed in sectarian clashes in Syria Sweida']"
21,127,21_poland_lithuania_controls_discourage,"['poland', 'lithuania', 'controls', 'discourage', 'reinstates', 'belarus', 'polish', 'checks', 'tunnel', 'germany']","['Poland reinstates border controls with Germany and Lithuania to discourage asylum - seekers', 'Poland reinstates border controls with Germany and Lithuania to discourage asylum - seekers', 'Poland reinstates border controls with Germany and Lithuania to discourage asylum - seekers']"
22,124,22_nga_cho_cnh_bnh,"['nga', 'cho', 'cnh', 'bnh', 'phng', 'bo', 'mt', 'khng', 'vng', 'nh']","['Triển vọng nào cho vòng đám phán mới giữa Nga - Ukraine ? - Báo Công an nhân dân điện tử', 'Mỹ và Nga thảo luận ý tưởng mới cho đàm phán hòa bình Ukraine', 'Mỹ và Nga thảo luận ý tưởng mới cho đàm phán hòa bình Ukraine']"
23,124,23_crisis_watchlist_worsens_humanitarian,"['crisis', 'watchlist', 'worsens', 'humanitarian', 'worst', 'tragedy', 'sudan', 'deepening', 'irc', 'catastrophe']","['Sudan tops global humanitarian crisis watchlist for third year as war continues', '  New world disorder : Sudan , Palestine top IRC 2026 Emergency Watchlist | Humanitarian Crises News', '  New world disorder : Sudan , Palestine top IRC 2026 Emergency Watchlist | Humanitarian Crises News']"
24,123,24_pakistn_cachemira_firme_conflicto,"['pakistn', 'cachemira', 'firme', 'conflicto', 'tensin', 'escala', 'promete', 'agregan', 'disputada', 'entre']","['Modi promete una « respuesta firme » si Pakistán lanza otro ataque contra India', 'Modi promete una « respuesta firme » si Pakistán lanza otro ataque contra India', 'Modi promete una « respuesta firme » si Pakistán lanza otro ataque contra India']"
25,121,25_polska_niemcy_francja_traktat,"['polska', 'niemcy', 'francja', 'traktat', 'ukrainie', 'wojna', 'nie', 'rosji', 'sprawie', 'ukrainy']","['Macron : 9 maja Francja i Polska podpiszą traktat o przyjaźni', 'Francja i Polska podpiszą traktat o przyjaźni .  Traktat premium  ', 'Francja i Polska podpiszą traktat o przyjaźni .  Traktat premium  ']"
26,121,26_ettoday_cna_aukus_setn,"['ettoday', 'cna', 'aukus', 'setn', 'apec', '5500', '4tiktok', 'tnl', '108', 'edca']","['美中之間走鋼索 ！ 中國擬邀請李在明出席閱兵 南韓政府迎外交大考驗 | 國際 | 三立新聞網 SETN . COM', '中國殲10戰鬥機 印尼評估採購 | 國際 | 中央社 CNA', '中國殲10戰鬥機 印尼評估採購 | 國際 | 中央社 CNA']"
27,115,27_haitianos_hait_dominicana_tps,"['haitianos', 'hait', 'dominicana', 'tps', 'rd', 'repblica', 'nicaragenses', 'puertas', 'detiene', 'pandilleros']","['Ve aumento deportaciones de haitianos desde República Dominicana', 'Ve aumento deportaciones de haitianos desde República Dominicana', 'Terminación TPS haitianos 2026 | Noticias SIN']"
28,100,28_vit_nam_lan_ch,"['vit', 'nam', 'lan', 'ch', 'tc', 'campuchia', 'tng', 'thi', 'th', 'quan']","['Cơ chế bảo hộ công dân Việt Nam nhìn từ vụ ông Lưu Tú Bảo', 'Việt Nam - Lào ký thỏa thuận hợp tác pháp luật , tư pháp', 'Việt Nam kêu gọi cộng đồng quốc tế hành động để xóa bỏ hoàn toàn vũ khí hạt nhân']"
29,97,29_sudanu_meseci_sudanie_faer,"['sudanu', 'meseci', 'sudanie', 'faer', 'opsade', 'pao', 'onz', 'krvi', 'sulm', 'belirlemeliyiz']","['Sudan : El - Fašer pao posle 18 meseci opsade ,  gomile leševa i bare krvi  - BBC News na srpskom', 'Sudan : El - Fašer pao posle 18 meseci opsade ,  gomile leševa i bare krvi  - BBC News na srpskom', 'Sudan : El - Fašer pao posle 18 meseci opsade ,  gomile leševa i bare krvi  - BBC News na srpskom']"
30,95,30_thng_tng_chm_dt,"['thng', 'tng', 'chm', 'dt', 'xung', 'nga', 'ln', 'ting', 'ng', 'tn']","['Tổng thống Mỹ - Nga điện đàm về chấm dứt xung đột Ukraine', 'Tổng thống Trump tiết lộ thêm về kế hoạch chấm dứt xung đột Nga - Ukraine', 'Tổng thống Trump tiết lộ thêm về kế hoạch chấm dứt xung đột Nga - Ukraine']"
31,94,31_migrantes_impuso_redes_migrante,"['migrantes', 'impuso', 'redes', 'migrante', 'individuos', 'unidos', 'empresas', 'dlares', 'estados', 'acusados']","['El Reino Unido impuso sanciones contra individuos y empresas acusados de facilitar las redes de tráfico de migrantes', 'El Reino Unido impuso sanciones contra individuos y empresas acusados de facilitar las redes de tráfico de migrantes', 'El Reino Unido impuso sanciones contra individuos y empresas acusados de facilitar las redes de tráfico de migrantes']"
32,93,32_migrantus_baltarusija_pasienyje_neteistus,"['migrantus', 'baltarusija', 'pasienyje', 'neteistus', 'apgr', 'baltarusij', 'migrantai', 'pasienieiai', 'kampanij', 'lietuva']","['VSAT pareigūnai pasienyje su Baltarusija apgręžė tris neteisėtus migrantus', 'VSAT pareigūnai pasienyje su Baltarusija apgręžė šešis neteisėtus migrantus', 'VSAT pareigūnai pasienyje su Baltarusija apgręžė 5 neteisėtus migrantus']"
33,92,33_ethiopia_tigray_amhara_ethiopians,"['ethiopia', 'tigray', 'amhara', 'ethiopians', 'district', 'rebellion', 'oromia', 'ethiopian', 'dasenech', 'waging']","['Ethiopia war may have ended , but the Tigray crisis hasnt', 'Ethiopia : Tipping Point : Ethiopia Edges Toward Crisis As Renewed Tensions Loom Over Tigray - Conflict Spreads in Amhara , Oromia', 'Ethiopia : Tipping Point : Ethiopia Edges Toward Crisis As Renewed Tensions Loom Over Tigray - Conflict Spreads in Amhara , Oromia']"
34,92,34_hindistan_afganistan_kemir_ve,"['hindistan', 'afganistan', 'kemir', 've', 'sava', 'atma', 'neden', 'gerilimi', 'arasnda', 'snrnda']","['Pakistan - Hindistan savaşı !  Uçaklar havalandı  ', 'Pakistan - Hindistan gerginliği', 'Hindistan ve Pakistan arasında kırılgan ateşkes']"
35,91,35_canada_bill_calgary_montreal,"['canada', 'bill', 'calgary', 'montreal', 'vancouver', 'edmonton', 'toronto', 'nevadan', 'consider', 'detection']","['Canada Border Bill Guts Refugee Rights | South Asian Post | Indo Canadian newspaper - Vancouver , Surrey , Calgary , Toronto , Brampton , Edmonton , Winnipeg , Montreal', 'Refugees Face Border Battle to Get into Canada | Asian Pacific Post | Chinese newspaper - Vancouver , Richmond , Calgary , Edmonton , Winnipeg , Toronto , North York , Montreal', 'Refugees Face Border Battle to Get into Canada | Asian Pacific Post | Chinese newspaper - Vancouver , Richmond , Calgary , Edmonton , Winnipeg , Toronto , North York , Montreal']"
36,90,36_73_334_84_27,"['73', '334', '84', '27', '15', '2024', '', '', '', '']","['منذ مارس 2024 .. تسلسل زمني لتطور الشراكة المصرية الأوروبية', 'تسلسل زمني للعدوان الإسرائيلي على غزة .. ماذا حدث خلال 15 شهرا ؟ ', 'عالمة جيولوجية : زلزال ميانمار أطلق طاقة تعادل 334 قنبلة ذرية ! ']"
37,89,37_netanyahu_manifiestan_reservistas_reanudar,"['netanyahu', 'manifiestan', 'reservistas', 'reanudar', 'deuxime', 'propios', 'familiares', 'reserva', 'preocupa', 'afirma']","['  Lo que le preocupa a Netanyahu son sus propios intereses : reservistas israelíes se manifiestan contra guerra en Gaza', '  Lo que le preocupa a Netanyahu son sus propios intereses : reservistas israelíes se manifiestan contra guerra en Gaza', '  Lo que le preocupa a Netanyahu son sus propios intereses : reservistas israelíes se manifiestan contra guerra en Gaza']"
38,88,38_hostages_hostage_release_identifies,"['hostages', 'hostage', 'release', 'identifies', 'emerging', 'edan', 'alexander', 'freed', 'phase', 'hamas']","['Israel , Hamas agree to  first phase  of plan to end fighting , release hostages , Trump says', 'Israel , Hamas agree to  first phase  of plan to end fighting , release hostages , Trump says', 'Israel , Hamas agree to  first phase  of plan to end fighting , release hostages , Trump says']"
39,86,39_54_market_paramilitary_158,"['54', 'market', 'paramilitary', '158', 'wounding', 'rsf', 'shouk', 'forty', 'omdurman', 'least']","['Paramilitary attack on market in Sudan kills 54', 'Paramilitary attack on market in Sudan kills 54', 'Paramilitary attack on market in Sudan kills 54']"
40,85,40_ukrainoje_karas_rusijos_ukrainos,"['ukrainoje', 'karas', 'rusijos', 'ukrainos', 'ukraina', 'ukrainan', 'karo', 'atak', 'kar', 'yra']","['Karas Ukrainoje . Ukraina skelbia sustabdžiusi Rusijos puolimą Sumų srityje', 'Karas Ukrainoje . Ukraina skelbia sustabdžiusi Rusijos puolimą Sumų srityje', 'Karas Ukrainoje . Ukraina skelbia sustabdžiusi Rusijos puolimą Sumų srityje']"
41,84,41_crowds_nears_gather_anniversary,"['crowds', 'nears', 'gather', 'anniversary', 'invasion', 'fling', 'dixon', 'erie', 'sandy', 'crowd']","['Crowds gather as Ukraine invasion anniversary nears', 'Crowds gather as Ukraine invasion anniversary nears', 'Crowds gather as Ukraine invasion anniversary nears']"
42,84,42_unseen_civil_guide_sudan,"['unseen', 'civil', 'guide', 'sudan', 'visual', 'ummah', 'coups', 'apathy', 'resetting', 'pledged']","['Sudan Civil War - a Visual Guide to the Brutal Conflict', 'Sudan civil war : A visual guide to the brutal conflict - 19 - Dec - 2025', 'Sudan civil war : A visual guide to the brutal conflict - 19 - Dec - 2025']"
43,84,43_rethinking_exposed_myths_facts,"['rethinking', 'exposed', 'myths', 'facts', 'policy', 'australia', 'immigration', 'travelling', 'confrontation', 'examiner']","['Rethinking immigration : Australia policy myths , facts exposed | The Standard', 'Rethinking immigration : Australia policy myths , facts exposed | The North West Star', 'Rethinking immigration : Australia policy myths , facts exposed | Southern Cross']"
44,83,44_one_small_boats_france,"['one', 'small', 'boats', 'france', 'boat', 'out', 'unauthorized', 'daybreak', 'labour', 'flown']","['UK Launches  One In , One Out  Migrant Deal with France Amid Surge in Small Boat Crossings', 'Dozens of migrants are returned to France under Labour  one in , one out  deal .... as hundreds more arrive in Britain on small boats', 'Dozens of migrants are returned to France under Labour  one in , one out  deal .... as hundreds more arrive in Britain on small boats']"
45,83,45_ucraina_droni_privind_attacco,"['ucraina', 'droni', 'privind', 'attacco', 'nu', 'acord', 'mosca', 'cu', 'leuropa', 'dei']","['Russia - Ucraina , chi sta vincendo la guerra dei droni ? La corsa alla supremazia ( con laiuto degli united states ) ', 'Russia - Ucraina , chi sta vincendo la guerra dei droni ? La corsa alla supremazia ( con laiuto degli united states ) ', 'Russia - Ucraina , chi sta vincendo la guerra dei droni ? La corsa alla supremazia ( con laiuto degli united states ) ']"
46,82,46_ecuador_armado_gallos_pelea,"['ecuador', 'armado', 'gallos', 'pelea', 'personas', 'durante', 'masacre', 'billar', 'asesinan', 'guayaquil']","['Ecuador : al menos 11 muertos y varios heridos en un ataque armado durante pelea de gallos', 'Ecuador : un grupo armado asesinó a 11 personas en una pelea de gallos', 'Al menos 11 muertos y 9 heridos deja ataque armado en Ecuador durante una pelea de gallos']"
47,82,47_tr_vin_nhn_ti,"['tr', 'vin', 'nhn', 'ti', 'dch', 'quc', 'gi', 'php', 'chu', 'ku']","['Nam Phi cáo buộc Israel sử dụng nạn đói làm vũ khí chiến tranh tại Gaza', 'ICC tolak rayuan Israel , sokong siasatan jenayah perang di Gaza', 'ICC tolak rayuan Israel , sokong siasatan jenayah perang di Gaza']"
48,81,48_romnia_cu_pentru_sua,"['romnia', 'cu', 'pentru', 'sua', 'nicuor', 'moldova', 'care', 'republica', 'romania', 'pe']","['Emmanuel Macron : „ Când Rusia a decis războiul în Ucraina , am putut , în cinci zile , să desfăşurăm trupe în România  ', 'Oana Țoiu anunță că Recep Tayyip Erdogan ar putea veni în România : „ Am subliniat interesul României de a intensifica cooperarea cu Turcia și Bulgaria , atât în cadrul NATO , cât și la nivel regional  ', 'ULTIMA ORĂ . Zelenski a dezvăluit acordul de pace negociat cu SUA și propus Rusiei . Ce prevăd cele 20 de puncte ale documentului care poate pune capăt războiului din Ucraina']"
49,80,49_paz_ucrania_reunin_duradera,"['paz', 'ucrania', 'reunin', 'duradera', 'zelenski', 'conversaciones', 'esfuerzos', 'europeos', 'lderes', 'negociaciones']","['Jefes de diplomacia de Turquía y EEUU discuten esfuerzos de paz para Ucrania tras negociaciones en Estambul', 'Jefes de diplomacia de Turquía y EEUU discuten esfuerzos de paz para Ucrania tras negociaciones en Estambul', 'Jefes de diplomacia de Turquía y EEUU discuten esfuerzos de paz para Ucrania tras negociaciones en Estambul']"
50,80,50_lee_ishiba_myung_jae,"['lee', 'ishiba', 'myung', 'jae', 'busan', 'korean', 'korea', 'august', 'peninsula', 'inter']","['South Korean President Lee , Japan PM Ishiba to hold summit on August 23', 'President Lee to Visit Japan ahead of US Summit', 'President Lee to Visit Japan ahead of US Summit']"
51,80,51_prisioneros_chinos_ciudadanos_rusia,"['prisioneros', 'chinos', 'ciudadanos', 'rusia', 'intercambio', 'mosc', 'ucrania', 'canje', 'muertos', 'luchan']","['Alto al fuego , intercambio de prisioneros y entrega de cuerpos : resultados de negociaciones entre Rusia y Ucrania en Estambul', 'Alto al fuego , intercambio de prisioneros y entrega de cuerpos : resultados de negociaciones entre Rusia y Ucrania en Estambul', 'Alto al fuego , intercambio de prisioneros y entrega de cuerpos : resultados de negociaciones entre Rusia y Ucrania en Estambul']"
52,78,52_egypt_egyptian_foregin_abdelatty,"['egypt', 'egyptian', 'foregin', 'abdelatty', 'cairo', 'presidents', 'dialogue', 'inaugural', 'regional', 'ugandan']","['Egyptian Foregin Minister Abdelatty arrives in New Delhi for 1st India - Egypt Strategic dialogue', 'Egyptian Foregin Minister Abdelatty arrives in New Delhi for 1st India - Egypt Strategic dialogue', 'Egyptian Foregin Minister Abdelatty arrives in New Delhi for 1st India - Egypt Strategic dialogue']"
53,77,53_130_39_cnn_12,"['130', '39', 'cnn', '12', '', '', '', '', '', '']","['  CNN : ضغوط أوروبية تجبر إسرائيل على فتح المعابر لغزة', '39 دولة تدعم غزة في موجة ضغوط حاصرت إسرائيل - بوابة الشروق', 'عاجل : ضحايا الضربات الإسرائيلية على غزة أكثر من 130 قتيلاً']"
54,76,54_sommet_zelensky_reoit_blanche,"['sommet', 'zelensky', 'reoit', 'blanche', 'laisse', 'maison', 'accepter', 'koursk', 'guerre', 'milliards']","['Guerre en Ukraine . Donald Trump laisse jusquau 27 novembre à Zelensky pour accepter son plan de paix', 'Guerre en Ukraine . Donald Trump laisse jusquau 27 novembre à Zelensky pour accepter son plan de paix', 'Guerre en Ukraine . Donald Trump laisse jusquau 27 novembre à Zelensky pour accepter son plan de paix']"
55,74,55_palestinos_palestina_palestino_agencia,"['palestinos', 'palestina', 'palestino', 'agencia', 'franja', 'tomar', 'palets', 'llegar', 'despus', 'gazates']","['Israel asesinó a más de 47 . 000 palestinos con sus ataques militares sobre la Franja de Gaza', 'Israel asesinó a más de 47 . 000 palestinos con sus ataques militares sobre la Franja de Gaza', 'Israel asesinó a más de 47 . 000 palestinos con sus ataques militares sobre la Franja de Gaza']"
56,74,56_warned_terrific_pak_stopped,"['warned', 'terrific', 'pak', 'stopped', 'spin', 'probably', 'repeats', 'stopping', 'gandhi', 'nuclear']","['US President Donald Trump reiterates preventing India - Pakistan nuclear clash , says he spoke with  very terrific man , Modi of India ...; warned Pak of ... ', 'US President Donald Trump reiterates preventing India - Pakistan nuclear clash , says he spoke with  very terrific man , Modi of India ...; warned Pak of ... ', 'US President Donald Trump reiterates preventing India - Pakistan nuclear clash , says he spoke with  very terrific man , Modi of India ...; warned Pak of ... ']"
57,72,57_app_america_undocumented_immigration,"['app', 'america', 'undocumented', 'immigration', 'gallego', 'reclaiming', 'thrive', 'spar', 'system', 'salvation']","['Border app that became  a salvation  for migrants to legally enter the US may end', 'Border app that became  a salvation  for migrants to legally enter the US may end', 'US CBP One App : Used this app to enter the US ? You may now be asked to leave  immediately  |']"
58,72,58_deutschland_polen_migrationspolitik_grenze,"['deutschland', 'polen', 'migrationspolitik', 'grenze', 'migranten', 'zu', 'blockieren', 'nationalisten', 'verlngern', 'migrationsplan']","['Polen : Nationalisten protestieren an Grenze zu Deutschland gegen Migrationspolitik', 'Polen : Nationalisten protestieren an Grenze zu Deutschland gegen Migrationspolitik', 'Polen : Nationalisten protestieren an Grenze zu Deutschland gegen Migrationspolitik']"
59,72,59_disastrous_white_arabia_house,"['disastrous', 'white', 'arabia', 'house', 'hitlerian', 'censorship', 'ruining', 'afd', 'presented', 'delegation']","['US and Ukraine to meet in Saudi Arabia after disastrous White House talks', 'US and Ukraine to meet in Saudi Arabia after disastrous White House talks', 'US and Ukraine to meet in Saudi Arabia after disastrous White House talks']"
60,71,60_syria_hiu_tranh_ti,"['syria', 'hiu', 'tranh', 'ti', 'ngi', 'min', 'pht', 'thang', 'kch', 'hn']","['Toàn cảnh cuộc giao tranh mới đẩy Syria tới bờ vực của nội chiến toàn diện', 'Giao tranh ở Syria leo thang , Israel đối mặt lựa chọn khó khăn tại biên giới', 'Giao tranh ở Syria leo thang , Israel đối mặt lựa chọn khó khăn tại biên giới']"
61,71,61_siria_drusos_enfrentamientos_sirio,"['siria', 'drusos', 'enfrentamientos', 'sirio', 'combates', 'necesidad', 'asad', 'beduinos', 'sueida', 'alcanzaron']","['Siria .- La Presidencia siria acusa a los drusos de violar el alto el fuego', 'Siria .- La Presidencia siria acusa a los drusos de violar el alto el fuego', 'El Gobierno de Siria anuncia un nuevo alto el fuego con los líderes drusos tras días de violencia']"
62,70,62_sco_abeyance_hamad_observes,"['sco', 'abeyance', 'hamad', 'observes', 'daxing', 'ahead', 'zelenskyy', 'informs', 'bombards', 'eid']","['PM Modi , President Zelenskyy discuss peace efforts , Russia - Ukraine conflict ahead of SCO summit', 'PM Modi , President Zelenskyy discuss peace efforts , Russia - Ukraine conflict ahead of SCO summit', 'PM Modi , President Zelenskyy discuss peace efforts , Russia - Ukraine conflict ahead of SCO summit']"
63,70,63_violenze_crisi_civili_tragedia,"['violenze', 'crisi', 'civili', 'tragedia', 'atrocit', 'civile', 'di', 'fine', 'umanitaria', 'zamzam']","['Paavi seuraa surullisena Sudanin raakuuksia – vaatii välitöntä tulitaukoa', 'Tragedia nella tragedia in Sudan , saccheggi , atrocità e violenze - Notizie', 'Tragedia nella tragedia in Sudan , saccheggi , atrocità e violenze - Notizie']"
64,70,64_hezbollah_disarming_lebanon_commits,"['hezbollah', 'disarming', 'lebanon', 'commits', 'term', 'disarmament', 'rebuilds', 'regroup', 'envoy', 'longtime']","['US envoy to discuss long - term ceasefire with Israel after Lebanon commits to disarming Hezbollah', 'US envoy to discuss long - term ceasefire with Israel after Lebanon commits to disarming Hezbollah', 'US envoy to discuss long - term ceasefire with Israel after Lebanon commits to disarming Hezbollah']"
